-----------------Experiment3 Start-----------------
serial_time:5.82523 cuda_time:1.08087
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.3 iter:0]
serial_time:5.14949 cuda_time:0.783235
[scale:1.3 iter:1]
serial_time:5.75759 cuda_time:0.787382
[scale:1.3 iter:2]
serial_time:5.10134 cuda_time:0.832531
[scale:1.3 iter:3]
serial_time:5.1233 cuda_time:0.791272
[scale:1.3 iter:4]
serial_time:5.12261 cuda_time:0.790601
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.4 iter:0]
serial_time:4.73715 cuda_time:0.624825
[scale:1.4 iter:1]
serial_time:4.74115 cuda_time:0.618751
[scale:1.4 iter:2]
serial_time:4.75303 cuda_time:0.615382
[scale:1.4 iter:3]
serial_time:5.0281 cuda_time:0.61919
[scale:1.4 iter:4]
serial_time:4.75655 cuda_time:0.615542
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.5 iter:0]
serial_time:4.42187 cuda_time:0.477135
[scale:1.5 iter:1]
serial_time:4.44835 cuda_time:0.479571
[scale:1.5 iter:2]
serial_time:4.44487 cuda_time:0.473972
[scale:1.5 iter:3]
serial_time:4.40572 cuda_time:0.598566
[scale:1.5 iter:4]
serial_time:4.45545 cuda_time:0.484905
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.6 iter:0]
serial_time:4.50676 cuda_time:0.403679
[scale:1.6 iter:1]
serial_time:4.58311 cuda_time:0.415068
[scale:1.6 iter:2]
serial_time:4.62515 cuda_time:0.384541
[scale:1.6 iter:3]
serial_time:4.33477 cuda_time:0.376893
[scale:1.6 iter:4]
serial_time:4.25684 cuda_time:0.401238
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.7 iter:0]
serial_time:4.23073 cuda_time:0.330305
[scale:1.7 iter:1]
serial_time:4.21978 cuda_time:0.345151
[scale:1.7 iter:2]
serial_time:4.40262 cuda_time:0.329306
[scale:1.7 iter:3]
serial_time:4.26292 cuda_time:0.327291
[scale:1.7 iter:4]
serial_time:4.12736 cuda_time:0.332963
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.8 iter:0]
serial_time:3.96759 cuda_time:0.356155
[scale:1.8 iter:1]
serial_time:4.04533 cuda_time:0.298559
[scale:1.8 iter:2]
serial_time:3.98219 cuda_time:0.278869
[scale:1.8 iter:3]
serial_time:4.03565 cuda_time:0.303391
[scale:1.8 iter:4]
serial_time:4.00872 cuda_time:0.280961
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.9 iter:0]
serial_time:3.98497 cuda_time:0.264539
[scale:1.9 iter:1]
serial_time:3.92558 cuda_time:0.263811
[scale:1.9 iter:2]
serial_time:3.90662 cuda_time:0.26695
[scale:1.9 iter:3]
serial_time:4.05395 cuda_time:0.285048
[scale:1.9 iter:4]
serial_time:4.3565 cuda_time:0.290986
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.01 iter:0]
serial_time:13.4176 cuda_time:1.5181
[scale:1.01 iter:1]
serial_time:13.3148 cuda_time:1.53455
[scale:1.01 iter:2]
serial_time:13.1549 cuda_time:1.53868
[scale:1.01 iter:3]
serial_time:13.1735 cuda_time:1.53059
[scale:1.01 iter:4]
serial_time:13.8403 cuda_time:1.59485
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.02 iter:0]
serial_time:11.5737 cuda_time:1.55018
[scale:1.02 iter:1]
serial_time:11.4223 cuda_time:1.52457
[scale:1.02 iter:2]
serial_time:11.1716 cuda_time:1.51304
[scale:1.02 iter:3]
serial_time:11.733 cuda_time:1.46872
[scale:1.02 iter:4]
serial_time:10.9434 cuda_time:1.4758
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.03 iter:0]
serial_time:9.56294 cuda_time:1.42203
[scale:1.03 iter:1]
serial_time:10.313 cuda_time:2.13139
[scale:1.03 iter:2]
serial_time:9.57701 cuda_time:1.45881
[scale:1.03 iter:3]
serial_time:10.2557 cuda_time:1.42903
[scale:1.03 iter:4]
serial_time:10.4701 cuda_time:1.42623
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.04 iter:0]
serial_time:9.25252 cuda_time:1.38172
[scale:1.04 iter:1]
serial_time:8.73391 cuda_time:1.37402
[scale:1.04 iter:2]
serial_time:8.82531 cuda_time:1.53909
[scale:1.04 iter:3]
serial_time:8.73278 cuda_time:1.37226
[scale:1.04 iter:4]
serial_time:8.86762 cuda_time:1.3894
%%%%%%%%%%%%%%%%%%%%%%%
[scale:1.05 iter:0]
serial_time:8.17605 cuda_time:1.34122
[scale:1.05 iter:1]
serial_time:8.17 cuda_time:1.3414
[scale:1.05 iter:2]
serial_time:8.22511 cuda_time:1.34614
[scale:1.05 iter:3]
serial_time:8.21026 cuda_time:1.34842
[scale:1.05 iter:4]
serial_time:8.18681 cuda_time:1.34362
